age,income,credit_score,loan_amount,loan_tenure_months,debt_to_income_ratio,num_open_accounts,num_credit_inquiries,months_employed,has_mortgage,default
34,59257.45,701,51189.15,72,0.7648,12,2,34,0,0
60,44669.26,606,31635.06,24,0.0984,15,5,56,0,0
34,68465.24,561,54505.87,60,0.6723,11,10,115,1,0
57,37224.85,617,20171.51,60,0.4979,6,7,5,0,0
60,54722.48,653,20549.82,12,0.1282,3,9,30,0,0
44,74974.82,668,31233.52,24,0.4491,9,6,45,0,0
58,36164.94,587,89191.38,84,0.3091,7,0,12,0,0
35,42190.82,722,40052.68,12,0.2371,4,1,9,1,0
25,50327.58,600,30784.93,24,0.2305,6,8,2,0,0
26,29307.31,580,91718.81,12,0.2401,15,6,26,1,1
43,48470.93,607,30571.91,24,0.3166,3,9,26,0,1
66,63538.31,736,100000.0,60,0.6192,4,4,95,1,1
28,49031.86,639,26721.67,72,0.0493,6,10,12,0,1
44,52277.0,594,19790.61,60,0.1026,14,3,69,0,0
56,59281.3,724,32865.63,24,0.0803,6,9,93,1,0
31,43136.65,821,31274.22,84,0.5014,5,1,197,0,0
57,84586.61,667,22367.58,36,0.3137,5,4,27,1,0
36,122760.31,749,100000.0,36,0.1293,15,10,53,0,0
61,47467.94,733,43966.18,48,0.2587,6,8,23,1,0
50,76313.04,602,47980.49,12,0.3648,6,4,45,0,0
48,53113.77,652,27525.62,36,0.1249,6,9,31,0,0
30,71879.31,547,25678.22,72,0.3069,14,5,2,1,0
44,130991.77,634,67193.72,60,0.3492,11,10,14,1,1
63,77213.51,600,13286.38,84,0.0303,9,1,47,1,0
22,24668.75,618,18293.14,72,0.4234,4,9,62,1,1
59,75131.7,590,31307.56,36,0.5433,2,7,80,0,0
46,110905.29,627,81685.22,72,0.3885,2,1,47,1,0
57,53594.51,693,29006.92,84,0.1945,5,3,85,1,0
54,98500.55,640,46615.62,60,0.28,12,8,67,0,1
43,42401.64,501,36924.75,72,0.1592,12,8,47,0,0
37,28487.78,590,79043.61,48,0.3719,12,2,30,0,0
52,64253.05,528,14032.99,84,0.5036,11,0,93,1,0
28,24878.56,670,56476.39,24,0.1754,8,3,10,1,0
50,53109.68,690,32230.25,36,0.3138,6,3,93,1,0
26,113939.3,671,63255.07,24,0.2659,11,6,1,0,0
53,23043.03,587,22212.95,12,0.3689,3,8,152,1,0
52,31579.13,670,36850.92,60,0.4335,2,3,141,0,0
26,35738.5,612,34149.25,12,0.2777,13,4,2,1,0
59,58008.22,559,19901.27,24,0.1261,8,2,92,1,0
42,49868.34,709,16844.04,72,0.1841,10,0,28,0,0
60,120519.66,715,25636.01,24,0.2831,15,10,160,0,0
24,96488.02,726,39259.89,84,0.3962,11,8,72,1,0
30,76698.43,601,23059.95,12,0.5779,12,8,47,1,0
46,64396.54,744,29790.83,48,0.6593,8,10,129,1,0
31,72883.31,611,11713.78,12,0.0939,5,0,148,0,0
38,38910.09,702,29074.3,12,0.4897,6,4,8,0,0
54,91913.68,609,67114.27,72,0.2826,14,8,157,0,0
29,34336.97,632,55442.86,12,0.7266,6,6,21,0,1
55,90915.75,456,34470.08,84,0.24,15,8,133,1,0
27,108344.5,626,42032.22,60,0.4087,1,4,30,0,0
30,66531.6,657,22093.61,48,0.4137,5,1,24,0,0
50,54824.56,617,96246.05,84,0.2912,15,6,29,1,0
60,73141.77,790,100000.0,36,0.4424,9,8,25,0,0
30,20000.0,557,40090.48,36,0.0444,6,8,38,0,0
36,69642.42,605,100000.0,36,0.1687,3,1,17,1,0
67,56575.03,578,24146.4,60,0.2303,8,6,222,0,0
70,58377.51,605,17143.12,72,0.1928,15,6,8,0,0
50,85243.42,733,23723.6,48,0.1404,6,3,57,1,0
43,57677.1,768,31834.5,24,0.1202,8,2,20,0,0
38,33856.85,594,100000.0,84,0.4847,6,2,69,1,0
52,55787.14,592,30678.11,60,0.3412,13,1,291,1,0
50,61931.1,557,21681.32,72,0.0547,11,5,122,0,0
36,63415.71,755,21182.37,48,0.2874,10,3,9,0,0
23,64923.16,740,71970.62,24,0.1978,11,7,168,0,0
29,100678.2,642,66064.12,84,0.3408,7,6,131,1,0
68,34786.43,538,27138.62,60,0.7244,13,6,360,0,0
42,65372.06,545,11784.37,36,0.125,10,10,171,0,0
45,114115.33,664,18450.45,72,0.1668,2,1,94,1,0
44,25152.04,694,100000.0,12,0.173,6,0,138,0,0
60,65501.17,485,54900.88,84,0.1839,14,3,80,0,0
25,44681.32,624,37770.24,60,0.0711,4,0,16,1,0
26,49743.98,779,100000.0,60,0.3237,15,8,106,0,0
35,38085.78,633,100000.0,12,0.1711,13,4,13,1,0
45,55007.49,769,35540.79,24,0.2582,15,1,49,0,0
54,150000.0,702,35934.64,72,0.183,12,0,17,0,0
46,31817.92,563,25610.87,48,0.7171,2,9,254,0,0
43,33362.74,627,30614.78,12,0.3464,3,4,46,1,0
67,31226.82,640,14886.43,60,0.3428,8,5,133,0,0
29,142018.01,574,14850.19,72,0.4237,6,1,38,1,0
50,47516.4,572,12918.36,24,0.3186,15,8,5,0,0
48,59111.48,771,69605.73,60,0.7558,13,8,8,1,0
45,48952.64,572,14230.73,84,0.3427,12,3,144,0,1
61,37338.81,736,100000.0,48,0.1753,15,9,20,1,0
35,53232.52,615,23430.02,24,0.2188,1,3,22,0,1
68,150000.0,648,100000.0,84,0.5272,11,9,89,0,0
38,120094.65,695,29172.08,84,0.1361,14,10,48,0,0
48,39086.45,602,14189.93,48,0.0298,15,5,153,0,0
47,82767.19,695,78453.97,36,0.1683,13,6,32,0,0
63,39507.22,486,84214.25,72,0.5169,13,9,107,0,1
43,24632.36,685,21086.1,12,0.404,12,1,147,1,0
35,99683.5,453,29762.62,36,0.4147,2,5,80,1,0
23,106942.48,632,21089.33,48,0.0862,7,10,13,1,1
39,101015.18,718,33782.02,60,0.0764,14,2,62,0,0
62,47337.94,700,38742.69,60,0.1361,10,4,134,0,0
22,55083.87,546,29412.36,36,0.3755,4,9,121,0,1
65,87106.15,556,12193.58,84,0.3739,11,7,0,1,0
48,72820.15,595,25628.81,60,0.0561,1,5,21,1,0
28,49177.0,665,55387.61,48,0.3402,6,1,14,0,0
36,26647.86,487,32037.43,84,0.4743,12,1,92,0,0
49,63382.15,649,29837.93,12,0.7001,12,9,53,0,1
37,102693.57,675,20775.59,60,0.2318,8,5,4,0,0
27,32899.27,627,25184.13,84,0.1038,5,10,51,1,0
54,82403.21,692,84572.87,60,0.2111,8,1,15,1,0
54,70669.61,668,18327.05,48,0.2751,3,4,19,1,1
27,87122.82,607,55965.68,36,0.6911,15,1,41,0,0
35,92594.75,495,37355.41,24,0.1106,13,1,63,0,0
33,42309.52,661,42061.43,48,0.5597,11,0,346,0,0
54,26676.02,574,23402.22,84,0.2478,6,6,139,1,0
57,45855.03,604,29405.4,48,0.3476,3,2,11,0,0
57,93392.25,688,36191.08,12,0.2654,1,1,9,0,0
67,45660.92,763,26571.64,48,0.9125,6,9,11,0,1
59,42318.45,647,44305.29,12,0.2754,13,4,37,0,0
37,24084.53,694,47784.83,84,0.0669,6,5,3,0,0
27,143820.86,534,100000.0,48,0.3321,12,6,168,0,0
52,90477.53,670,42912.31,24,0.2572,3,4,14,1,0
66,87987.32,645,11529.39,60,0.194,13,1,49,0,0
69,97135.55,748,72970.57,48,0.1803,2,5,79,1,0
33,79885.86,607,32134.25,48,0.3729,6,10,227,0,0
33,52988.79,631,100000.0,60,0.5889,3,7,5,0,1
23,55166.87,735,87776.99,84,0.1373,10,7,35,1,0
28,48349.82,643,26818.29,72,0.1567,3,6,29,0,0
49,150000.0,561,56001.94,24,0.4035,1,3,112,1,0
48,79059.5,850,25428.53,24,0.441,5,5,22,1,0
40,47481.71,564,36374.18,84,0.5088,1,4,32,0,0
37,75564.99,645,54480.11,60,0.1461,6,6,11,1,0
62,36118.68,678,70813.16,12,0.3783,4,9,11,0,0
44,127039.5,671,62138.65,48,0.3497,14,0,3,0,0
61,43021.94,635,37986.79,12,0.2701,8,5,95,1,0
69,76921.66,635,100000.0,12,0.5227,7,2,95,0,0
37,102026.6,631,29172.67,24,0.3079,10,10,12,1,1
31,72575.62,561,13845.0,24,0.1043,3,1,83,0,0
68,62770.15,822,15540.12,12,0.594,3,0,40,1,0
53,60198.4,632,87939.52,72,0.0874,3,7,43,0,0
36,58208.08,698,34683.12,48,0.2762,14,2,93,0,0
52,44875.66,623,39952.02,48,0.5178,12,2,34,1,0
47,47822.82,622,26225.45,84,0.2331,15,5,56,1,0
66,125466.64,614,27677.59,72,0.123,13,10,92,1,0
34,56711.47,526,22646.09,72,0.2234,2,1,22,0,0
70,40420.88,637,48179.58,24,0.4992,3,5,135,1,0
67,46251.59,617,34254.46,72,0.1341,13,3,161,0,0
30,103796.27,744,47145.94,84,0.4003,9,2,137,0,0
30,83935.45,554,44518.63,12,0.4184,10,5,0,0,0
48,79234.3,604,28126.65,84,0.2202,4,10,27,0,0
24,52640.41,578,15134.95,84,0.2569,8,2,73,0,0
36,79752.33,765,14364.57,72,0.5544,14,2,36,1,0
43,43400.2,580,100000.0,36,0.5941,8,1,4,0,0
69,52585.36,695,88159.6,24,0.3446,11,6,75,0,0
70,97236.58,728,81154.46,72,0.4779,12,2,48,1,0
29,92701.4,638,24227.31,60,0.2485,14,6,19,0,0
65,36645.47,540,36523.31,72,0.0178,4,0,7,0,0
26,39035.89,541,22265.25,24,0.1411,14,7,29,0,0
58,63218.43,719,16527.0,24,0.0266,10,2,74,0,0
63,141926.73,549,25507.71,84,0.2588,13,0,48,1,0
65,22976.27,681,80475.73,48,0.0294,4,0,9,0,0
32,68814.27,659,60141.01,72,0.0905,2,8,9,0,0
65,30090.91,680,20291.78,84,0.2238,2,10,95,0,0
27,43600.96,688,30064.8,48,0.6702,6,4,9,0,1
47,49900.47,575,56924.09,24,0.4146,9,1,57,0,1
45,48520.7,572,25781.62,84,0.2654,5,9,9,0,1
37,45848.7,707,38091.7,72,0.3998,5,0,10,0,0
23,60090.29,600,46217.25,60,0.2171,13,3,45,1,0
59,45815.25,430,45915.51,84,0.4986,12,10,8,0,1
38,28818.46,702,42297.67,24,0.0502,10,4,82,0,0
54,88427.19,567,24533.18,36,0.3186,10,8,112,1,0
42,87241.56,687,26092.81,12,0.3907,13,3,20,0,0
40,91270.89,761,18394.56,36,0.2268,4,2,43,0,0
65,27712.33,651,14231.29,48,0.2653,15,3,151,1,0
26,69526.21,730,33899.34,48,0.3417,13,9,25,0,0
58,83951.07,662,59263.91,24,0.0618,6,4,29,1,0
58,35753.34,777,15864.36,72,0.6546,6,9,14,1,0
40,60149.39,565,42778.2,48,0.1014,3,10,81,0,0
34,56492.7,649,58149.86,48,0.5091,11,8,46,0,1
22,150000.0,704,12063.74,84,0.3821,5,3,9,0,0
67,150000.0,635,30873.43,48,0.0671,5,6,57,0,0
68,26051.27,742,97511.55,84,0.0974,11,4,21,0,0
33,150000.0,615,50572.57,24,0.1165,3,6,13,1,0
23,37887.9,816,11822.1,72,0.1671,2,7,83,0,0
28,97766.44,820,53906.36,84,0.1786,13,10,85,1,0
25,97270.3,673,23187.25,72,0.5975,1,8,17,0,0
62,36393.84,694,54983.27,84,0.1767,14,5,29,0,0
65,76621.57,745,24003.4,72,0.1457,11,9,137,0,0
29,56739.91,555,35178.15,60,0.1098,6,8,61,0,0
58,78996.99,545,26303.95,72,0.5107,9,3,40,0,0
30,67193.79,751,36384.37,84,0.08,5,1,37,0,0
39,108898.3,672,25838.78,60,0.5322,7,4,206,1,0
51,62174.47,632,31757.27,60,0.6007,11,7,167,1,0
57,55053.62,651,17937.29,12,0.1911,14,2,122,0,0
64,103573.02,459,48746.85,84,0.4627,4,10,65,0,1
24,80033.29,635,40342.92,72,0.2612,9,10,169,1,0
31,86327.78,590,13767.7,24,0.1025,13,0,37,0,0
35,42946.34,723,65890.53,36,0.3171,1,4,99,1,0
37,35502.86,730,32670.48,24,0.4191,1,2,40,0,0
70,45077.52,696,40016.91,36,0.429,10,9,122,0,0
60,43896.48,682,57453.83,84,0.2654,3,8,52,0,1
37,88707.49,530,44220.57,48,0.0411,15,7,126,0,0
69,97537.48,697,73066.25,36,0.0486,2,8,117,1,0
46,55405.54,700,30455.52,72,0.1985,12,8,64,0,0
46,122450.18,750,67552.32,36,0.4581,5,8,66,1,0
43,118685.77,819,39095.19,84,0.1571,14,7,7,0,0
29,67622.73,515,49245.83,72,0.2991,13,10,12,1,0
67,39697.92,619,46266.69,24,0.2129,12,6,19,1,0
22,131621.85,591,76453.52,60,0.1436,10,1,31,0,0
30,58075.04,664,55985.47,48,0.2106,4,4,61,1,0
33,63772.84,651,27840.1,36,0.3633,2,7,15,0,0
35,50523.68,631,24716.83,84,0.0753,4,9,1,0,1
28,38372.83,732,35247.42,36,0.1255,2,7,132,0,0
22,28729.52,562,23015.87,12,0.4861,12,3,2,0,1
55,82160.85,567,19315.92,36,0.0808,5,2,149,0,0
69,40469.32,568,10129.11,48,0.3682,7,9,16,0,0
27,150000.0,621,14334.76,12,0.1576,10,2,72,1,0
36,34785.75,552,100000.0,72,0.0834,11,0,31,1,0
46,31930.24,646,24491.95,24,0.2773,9,7,170,1,0
67,77270.64,637,100000.0,12,0.4466,12,5,105,1,0
56,128625.03,587,46253.52,48,0.0982,2,7,61,1,0
59,61839.33,720,35247.33,24,0.3943,5,5,1,1,0
50,79707.68,645,14759.42,72,0.12,12,6,51,0,0
42,23818.7,735,36417.38,12,0.351,11,3,34,1,0
31,42669.69,634,100000.0,36,0.3461,10,5,68,0,1
64,35003.11,648,92464.68,12,0.2478,15,1,29,0,0
61,23213.22,605,42810.69,36,0.3388,15,7,102,0,0
23,63480.63,649,18229.55,84,0.0501,2,6,24,0,1
57,20000.0,707,20449.24,60,0.0599,9,3,17,0,0
26,30912.07,617,21773.41,48,0.0825,14,6,36,1,0
58,45770.87,691,78189.68,24,0.2126,5,2,14,0,0
62,39511.9,585,96667.47,36,0.5475,1,8,20,0,1
28,72999.24,711,40844.84,36,0.2973,2,6,61,1,0
43,69758.19,604,30277.25,60,0.4209,11,7,13,1,0
28,93610.64,718,91970.79,24,0.2147,14,6,81,1,0
49,87220.26,655,20188.25,84,0.0546,11,9,13,0,0
67,105916.51,772,37462.44,60,0.2161,1,8,127,0,0
25,59816.74,558,47943.55,36,0.2958,7,3,114,1,1
41,69684.52,532,21640.45,12,0.4038,6,4,10,0,1
69,77323.78,601,24796.34,60,0.2487,14,5,12,0,0
36,64268.72,539,23665.12,48,0.1679,8,8,105,0,0
28,49089.62,539,84968.52,60,0.0779,4,0,136,1,1
45,50704.95,700,100000.0,60,0.36,9,10,62,0,1
46,39784.03,650,38904.9,60,0.1635,12,3,126,1,0
54,73925.15,612,30917.23,72,0.1674,9,4,58,1,0
37,57124.73,619,25338.88,48,0.3045,7,2,63,1,0
68,42976.69,602,36353.57,72,0.4153,11,5,51,0,1
